itemid,citation,creatorid,creator,title,birth_year,death_year,category,creation_date
92844,<em>Œuvres de B,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Exposition ,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Pont-Aven: ,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Distel, Anne. <",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Maurice Den,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"House, John, an",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,National Galler,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Pickvance, Rona",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Pickvance, Rona",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Pickvance, Rona",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Kerlo, Léo, Re",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,<em>Kenavo Mons,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Kerlo, Léo, an",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,"Delouche, Denis",22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92844,“A Historic Gif,22965,Maurice Denis (,Blessing of a Yacht on the Belon River,1870,1943,Mod Euro - Painting 1800-1960,1899
92936,"Milliken, Willi",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Glasier, Jessie",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"""Cleveland Muse",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"""Painter Exchan",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Milliken, Willi",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,The Cleveland M,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,<em>The America,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Isham, Samuel, ",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,The Cleveland M,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Neuhaus, Eugen.",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Pollak, Frances",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Young, Mahonri ",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"West, Richard V",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Johnson, Fridol",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Clark, Jeff. ""T",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Chong, Alan. <e",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,<em>Antiques</e,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Weinberg, H. Ba",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,Cummer Gallery ,14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92936,"Ferris, Scott R",14219,Rockwell Kent (,Maine Coast,1882,1971,American - Painting,1907
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Glasier, Jessie",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Cleveland Muse",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Milliken, Willi",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Memorial Ex,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Cortissoz, Roya",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Isham, Samuel, ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Mather, Frank J",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Un Artiste Ame",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,The Cleveland M,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Bellows, Emma S",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Kelly, Grace V.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Eggers, George ",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Neuhaus, Eugen.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Clark, Edna Mar",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>American Pa,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,<em>Olympic Com,3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"Mechlin, Leila.",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
92937,"""Art's Progress",3005,George Bellows ,Stag at Sharkey's,1882,1925,American - Painting,1909
