ID;ASESOR;CDUSUARIO;PERFIL;GÉNERO;TIPO DE FAMILIA;FECHA DE NACIMIENTO;EDAD;MOMENTO DE VIDA;NUMERO DE DEPENDIENTES;ESTADO;Valor deuda;Tiene o no tiene deudas;Rango deuda;Cotizacion;CIERRE;FECOTIZACION;AYV;INGRESOS_EMPLEADOS;INGRESOS_INDEPENDIENTE;TOTAL_INGRESOS;GRUPO VALOR;Empleados o Indenpendientes;FUMA;ALCOHOL;ACTIVIDAD_FISICA;TIEMPO_ACTIVIDAD;Cat_Act_Física;USA_MOTO;USA_AUTOMOVIL;USA_BICICLETA;USATRANS_PUBLICO;Movilidad;ALIMENTACION;ESTRES;PESO;ESTATURA;Cine;Cultura;Deporte;Lectura;Mascotas;Musica;Otros;Restaurantes;Tecnologia;Viajes;Total_general
42100;18086;18086;Asesor;F;Monoparental;24298;52,05753425;Adulto;2;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;5293000;5293000;ALTO;Independiente;NO;0;SI;4;3;N;S;N;N;2;Normal;2;72;164;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42101;29475;29475;Asesor;F;Nuclear;28171;41,44657534;Adulto Joven 2;3;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;4000000;4000000;MEDIO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;SI;NO;NO;NO;NO;NO;NO;SI;NO;SI;3
42102;5775;5775;Asesor;F;Nuclear;21671;59,25479452;Adulto;0;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;5000000;5000000;ALTO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42103;1111;FREDMEME;Auxiliar;F;Pareja sin hijos;30203;35,87945206;Adulto Joven 2;NA;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;1200000;0;1200000;BAJO;Empleado;NO;1;NO;0;0;N;S;N;N;2;Normal;0;165;68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42104;6285;6285;Asesor;F;Nuclear;24956,95833;50,25216895;Adulto;3;SOLICITUD;300000;;< 1 SMLVM;1;1;8/03/2017;S;0;3000000;3000000;MEDIO;Independiente;NA;NA;NO;NA;NA;N;N;N;N;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42105;11919;11919;Asesor;F;Nuclear;31514,95833;32,28504566;Adulto Joven 1;1;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;2000000;0;2000000;MEDIO;Empleado;SI;1;SI;3;2;N;S;N;N;2;NA;1;72;177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42106;2589;2589;Asesor;F;Monoparental;18996,95833;66,58093607;Adulto Mayor;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;3200000;1800000;5000000;ALTO;Empleado;NO;0;NO;0;0;S;S;N;N;9;Saludable;1;78;168;NO;NO;NO;NO;SI;SI;NO;SI;NO;NO;3
42107;13269;JORGINPA;Auxiliar;F;Nuclear;25311,95833;49,27956621;Adulto;4;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;0;6000000;6000000;ALTO;Independiente;NO;0;SI;2,5;2;N;S;S;N;3;Saludable;0;70;162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
42108;2695;2695;Asesor;F;Monoparental;28148;41,50958904;Adulto Joven 2;0;COTIZACION;2000000;;Entre 2 y 5 SMLVM;1;0;8/03/2017;S;0;6000000;6000000;ALTO;Independiente;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NO;NO;SI;SI;NO;NO;NO;SI;NO;NO;3
42109;20078;JULIBEET;Auxiliar;M;Pareja sin hijos;29512,95833;37,76997717;Adulto Joven 2;0;COTIZACION;0;No;No tiene;1;0;8/03/2017;S;12700000;0;12700000;ALTO;Empleado;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
