;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
9263;femenino;servicio;barberia;buenos aires;3;9.0;9/02/2017;7377000;microempresarial
9264;femenino;industria;fabrica de ;castilla;3;5.0;15/02/2018;4000000;microempresarial
9265;masculino;industria;FABRICA DE ;villa hermosa;3;8.0;30/03/2017;7377000;microempresarial
9266;femenino;industria;fabrica de ;robledo;1;7.0;13/12/2016;6000000;microempresarial
9267;femenino;comercio;comidas rapidas;cabecera san cristobal;1;60.0;16/05/2018;7000000;microempresarial
9268;femenino;comercio;tienda de helados;la milagrosa;2;9.0;28/09/2017;3000000;microempresarial
9269;masculino;servicio;comidas rapidas;santander;2;6.0;15/09/2016;1000000;microempresarial
9270;femenino;servicio;peluqueria;santo domingo ;1;;3/02/2016;3000000;microempresarial
9271;femenino;INDUSTRIA;carpinteria;loreto;3;9.0;17/11/2016;6800000;microempresarial
9272;femenino;agropecuaria;criadero de animales ;cabecera san antonio ;2;80.0;5/12/2017;7300000;microempresarial
9273;masculino;comercio;variedades;barrio caicedo;2;9.0;15/02/2017;7377000;microempresarial
9274;masculino;industria;fabrica de ;manrique central no. 1;1;4.0;6/06/2018;5500000;microempresarial
9275;femenino;servicio;peluqueria;barrio caicedo;1;9.0;19/12/2016;3000000;microempresarial
9276;femenino;comercio;variedades;san javier no.1;2;13.0;2017/03/27;7370000;microempresarial
9277;femenino;servicio;peluqueria;ARANJUEZ;3;4.0;7/11/2018;7800000;microempresarial
9278;femenino;servicio;comidas rapidas;popular;2;1.0;24/02/2017;7300000;microempresarial
9279;FEMENINO;comercio;comidas rapidas;andalucia;2;2.0;20/02/2018;5000000;microempresarial
9280;masculino;agropecuaria;criadero de animales ;;3;7.0;19/06/2019;18000000;agropecuaria
9281;femenino;comercio;comidas rapidas;robledo;03;7.0;2017/07/28;7300000;microempresarial
9282;masculino;comercio;drogueria;pajarito;2;7.0;29/06/2017;7300000;microempresarial
9283;masculino;industria;fabrica de calzado;moravia;1;4.0;10/05/2018;4000000;microempresarial
9284;femenino;servicio;peluqueria;la milagrosa;3;9.0;2018/05/18;7800000;microempresarial
9285;femenino;comercio;fabrica de alimentos;enciso;3;8.0;15/05/2018;$ 788,000.00;microempresarial
9286;masculino;industria;fabrica de ;aranjuez;2;4.0;21/06/2018;7800000;microempresarial
9287;femenino;servicio;publicidad y ;aranjuez;02;4.0;17/11/2017;7377000;microempresarial
9288;masculino;comercio;variedades;robledo;2;7.0;7/06/2018;3500000;microempresarial
9289;femenino;industria;fabrica de ;manrique central no. 1;2;4.0;19/11/2016;2000000;microempresarial
9290;masculino;comercio;granero;granizal;2;1.0;27/07/2017;$ 5,000,000.00;microempresarial
9291;femenino;comercio;variedades;robledo;3;7.0;2/02/2018;7800000;microempresarial
9292;masculino;servicio;taller de mecanica;santa cruz;2;2.0;2017/07/14;5500000;microempresarial
9293;femenino;industria;tienda;;2;2.0;2016/06/29;5000000;microempresarial
9294;femenino;comercio;variedades;sevilla;3;4.0;4/07/2018;7800000;MICROEMPRESARIAL
9295;femenino;comercio;miscelanea;robledo;3;7.0;5/09/2017;$ 7,300,000.00;microempresarial
9296;masculino;comercio;almacen de ropa en ;villa hermosa;1;;22/02/2019;6000000;microempresarial
9297;femenino;comercio;tienda;campo valdes no. 1;2;4.0;2018/06/15;4000000;microempresarial
9298;masculino;comercio;variedades;villa hermosa;1;8.0;21/02/2018;7800000;microempresarial
9299;femenino;comercio;variedades;castilla;3;;6/07/2018;6500000;microempresarial
9300;femenino;comercio;tienda;el pinal;1;8.0;10/02/2016;3000000;microempresarial
9301;femenino;comercio;taller de mecanica;fuente clara;1;7.0;10/05/2018;7800000;microempresarial
9302;femenino;comercio;tienda;el pinal;1;8.0;2016/02/10;3000000;microempresarial
9303;femenino;industria;fabrica de ;moravia;2;4.0;4/01/2017;3000000;microempresarial
9304;masculino;comercio;variedades;popular;2;1.0;24/10/2018;3000000;MICROEMPRESARIAL
9305;femenino;comercio;papeleria;villa guadalupe;2;1.0;30/11/2016;$ 6,890,000.00;microempresarial
9306;masculino;servicio;variedades;robledo;2;7.0;2016/09/29;5000000;microempresarial
9307;femenino;servicio;variedades;alfonso lopez;2;5.0;27/11/2017;7000000;microempresarial
9308;masculino;comercio;tienda;buenos aires;3;9.0;29/05/2018;7800000;microempresarial
9309;masculino;industria;fabrica de ;robledo;2;7.0;11/10/2018;7812420;microempresarial
9310;masculino;comercio;barberia;versalles no. 1;2;3.0;2017/04/04;7370000;microempresarial
9311;femenino;comercio;variedades;moravia;2;4.0;21/02/2018;5000000;microempresarial
9312;masculino;comercio;comidas rapidas;antonio nariño;2;13.0;13/07/2017;7370000;microempresarial
9313;femenino;comercio;variedades;castilla;3;5.0;7/09/2017;73000000;microempresarial
9314;femenino;comercio;tienda;villatina;1;8.0;28/08/2017;6000000;microempresarial
